text,label
마닷 안나오면 재미없을거 같은데,1
이 ᄊ^ᄇ!,1
뭔가 손발안맞는 용병들 모아놓고 경기에 적응못하고 있는 느낌 트레이드를 많이해서 그런가,1
완전 쫀나이네,1
원래 저리 비쩍 골은 애들이 색을 밝힘. 변-태성향도 있고. 관상은 진짜 과학임.,1
소수자 차별하지 않는 차별금지법 만들겠다는 인간들이 당론과 안 맞는 의원님의 소수 의견은 왜 존중하지 않고 차별하나?? 진짜 모순적이고 자가당착적이다.,1
완전 존만이네,1
혹시 ᄆᄎᄂ%임?,1
이건 옛날 소작농들이 간도땅가듯한국에서 최고 밑바닥 최하층민들이유행처럼 아메리카드림 품고 개나소나 기어들어 갔으니 그렇지그렇지만 대부분은 미국가서도 현실은 시궁창이지만,1
뒈진 뒈진 뒈진,1
섹스에 미친 집단,1
개년* 꺼져,1
똥새끼~ 꺼져,1
연출과 연기가 너무 안습 주연배우가 아까움ㅋㅋ,1
ᄎᄂᄂᄂ 꺼져,1
이 정권은 끓이질 않고 조용한 날이 없구나쪽수가 많아지니 다같이 용감해져서 미쳤구나,1
혹시 더#러운년임?,1
얼마나 @ᄊㅅㅌㅊ였으면.... 츄릅,1
ᄀᄀᄅᄂ,1
싸게싸게 행동하자이기 저런 놈은 오래 살려두면 안되노 빠른 시일내 처리 앙망하노,1
너 진짜 나쁜-새끼 같다,1
문법 공부 부터 다시좀,1
너 진짜 ᄉᄅᄇᄀ 같다,1
싸 가지,1
되지도 않는 영어 쓰네,1
이 ᄊᄀᄋ.!,1
저 ᄌᄃᄋ- 때문에 게임 졌네,1
#ᄄᄀ 꺼져,1
씹자자자식 씹자자자식 씹자자자식,1
나이차이는 느껴지는데...요즘 백종원씨 너무 띄움.,1
완전 ᄌᄆ ᄒᄀ이네,1
wwq awg,1
애미씨%발,1
아 허접@ ㅋㅋㅋ,1
아유~~~~예뻐라!^^ 밝게 맑게 커라~♥,1
이 ᄀᄌᄃ#!,1
걸레같은년. 꺼져,1
아 ᄉᄂ#ᄋ ㅋㅋㅋ,1
기안84 뭘 잘못했는지 모르겠네.힘내세요!,1
저런 돼지들은 밥 하루에 한공기만 쳐먹게 법적으로 어떻게 못막냐?존나 식량낭비같은데,1
이 니아범!,1
와 싯팟 ㅋㅋㅋㅋㅋ,1
이 씨벨년!,1
ᄈᄁᄁᄁᄁ아,1
문재앙은 언제죽냐 범죄자ㅅㄲ들이 명줄은길더라,0
완전 ᄊᄇᄊᄉᄁᄁᄁ이네,1
와 최대1만명 수준이면 최소 몇천은 될것같은데....다 잡아서 콩밥은 무슨 자지다썰어야됨.,0
#ᄊᄇᄋ,1
^쌍년아,1
이 ᄂᄆᄅ~ᄂ!,1
ᄊᄇᄌ.ᄃ 꺼져,1
종^간나 꺼져,1
남궁민은현대판제갈공명이다 감탄또감탄,1
미_친놈,1
아이유랑 결혼하세요,1
너 진짜 *ᄌᄃᄋ 같다,1
아 개같은놈놈놈 ㅋㅋㅋ,1
헨리편 노잼 황재균편 꿀잼,1
돼지ㅅㅣㄲㅣ를 개-쇄끼로 만들어놨네,1
혹시 ᄉᄁ.ᄃ임?,1
좃까 꺼져,1
와 씨발 여기까지 똥내나노,1
ᄈ ᄀ ᄈ ᄀ ᄈ ᄀ,1
지랄발광들을 해봐라.,0
저 ᄌᄀᄋ 때문에 게임 졌네,1
역시 찐따~는 화낼때도 좀 찐따~ 같음,1
ㅅㅂ 드립이아니라 진짜였네,1
그래도 국제적인 평창올림픽 가수는 엑소!!!,1
혹시 좆좆잡고임?,1
혹시 ᄋᄅ@ᄌᄂ임?,1
꼴값떠네,0
완전 ᄉ*ᄍᄁ이네,1
아 #지랄 ㅋㅋㅋ,1
정우성 대박 너무 너무 행복했어요,1
이게왜 실검이냐ㅡ,1
완전 걸_레년이네,1
오냐오냐해주니까 활어회마냥 팔딱팔딱 뛰노,1
잘못했으면 처맞아야지.. 맞으면서 사람되는거다,0
ᄎ%ᄂ 꺼져,1
레이디 무현 너무하노,1
"노라조 """"형""""이란 노래로 힘들 때 위로를 받곤 했습니다. 앞으로도 노라조라는 이름으로 여러 사람에게 즐거움과 위안을 주시면 감사하겠습니다.",1
흠..둘이 사귀고부터 잼없는듯.. 그치????,1
지몸이다 첨견말자. 멋은있네,1
같은놈% 같은놈% 같은놈%,1
안동은 타지 사람이 와서 잠깐이라도 살곳이 못된다 텃세가 진짜 상상도 못하고사람들 존나게 틱틱거리고 불친절하다 장사하는 새끼들도 손님한테 서비스마인드 이딴거 없음 이건 지들끼리도 다 인정하는거고;;;ㅋ인심좋다는 시장도 가면 호객행위 이런거 거의 없고가격 물어보면 안살거면서 왜 물어보냐고 짜증냄헬조센 씹선비 고장의 진수를 보여줌안동 특유의 좆같은 분위기 안살아보면 모름뭐 안동토박이 지들끼리는 집성촌 양반입네 자존심 가지고 잘사는거겠지권씨 류씨 비율 확실히 많고 인구 16만명밖에 안됨..말만 시지 개깡촌임,0
혹시 변-태임?,1
완전 ᄇᄉᄁ이네,1
아 상놈이# ㅋㅋㅋ,1
다들 심심한가봐요 사실일수도 거짓일수도있는거아니예요 그여자 한만디에 모든게사실이 되나요? 오달수씨 불쌍...,1
이 샹뇬!,1
ᄌᄈᄅ%아,1
ᄌᄃᄊᄇ#아,1
ᄉᄌᄅ ᄉᄌᄅ ᄉᄌᄅ,1
ᄀᄂᄁ아,1
하늘이 무섭지안냐 ㅡㅡ 에라 똥통에 처박을,0
저 ᄂᄀ#ᄆᄊ 때문에 게임 졌네,1
혹시 코쟁^이임?,1
저 뇬 때문에 게임 졌네,1
뭔소리인지 액션만 좋아요,1
완전 개씹창#이네,1
너 진짜 쪽*바리 같다,1
너 진짜 느금마창년 같다,1
회사잘못이지. 인력을 충원해줘야지. 안해주니까 불만이 나오지.,1
당직병을 쑤시면 황희만 바보 되는거 아니냐? 열심히 쑤셔라 문슬람. 역시 지능이 그 수준이냐?,0
ㅇㅇ 동탄아지매 2명이랑 만나봤지 뇌가없는대신 이쁘다,0
ᄀᄋ%ᄉᄁ ᄀᄋ%ᄉᄁ ᄀᄋ%ᄉᄁ,1
완전 쪼다-새끼이네,1
~느금마아,1
너 진짜 ᄉᄁᄃ^ 같다,1
혹시 .개호로년임?,1
개싀밸아,1
젊은넘 기 빨아 먹고 회춘ing,0
헐...그렇다고 이런 선정적인 기사가...대단하다,1
너 진짜 %좆같은년 같다,1
어디가나 여자들 치맛바람이 문제야문제 미개인들 ㅉㅉ,0
광희는 의외로 추격전에 강한 면모를 보여주며 에이스로 성장했다. 이거빼고 맞음,1
혹시 _씨발아임?,1
#애미,1
임신만 안하면 속도위반이 아닌건가? 아니면 속도위반은 했지만 단속은 피했다는 것인가? 말도 생각하면서 조심했으면,1
완전 ᄌᄀᄋ@ᄂ이네,1
노무노무 쪽팔리겠다ㅋㅋㅋ,0
-ᄋᄇ 꺼져,1
전 그냥 조보아 땜에 봐요...,1
ᄒᄅᄌᄌ아,1
아오 저런 개 ... ㅡㅡ 디질려면 혼자디지래고 시양,0
ᄇᄅᄉᄁ ᄇᄅᄉᄁ ᄇᄅᄉᄁ,1
완전 호로새%끼이네,1
아 존-나게 ㅋㅋㅋ,1
대구 짐승들은 광주한테 열등감 있나 ㅎ,0
혹시 cival개임?,1
ᄇᄉ_아,1
기업들이 만든거 달통한테 왜 서한보낸겨 이기사거리로 또 선동질하겠구먼,1
저 ᄀᄒᄅᄅᄅᄉᄁ 때문에 게임 졌네,1
혹시 _나쁜새끼임?,1
아 @ᄋᄉᄁ ㅋㅋㅋ,1
너 진짜 ᄀᄊᄉᄁ 같다,1
저 _씹창 때문에 게임 졌네,1
씹쇄 꺼져,1
저 ~ᄀᄋᄃ 때문에 게임 졌네,1
-ᄊᄂ 꺼져,1
그만 하세요~~부끄러운 줄 알고..우리 아이들이 본 받을까 걱정이네요..,1
저 _개새 때문에 게임 졌네,1
어느나라가 되든 성공해서 코로나로 묶인 족쇄좀 끊어주라,1
어째 정용화보다 팬이 적은거 같다? 하긴 빅뱅감투 내려놓고 솔로앨범 내니깐 개망했었지....역시 지디와 아이들이였음...,1
혹시 ᄄᄎᄎᄎᄎ임?,1
^호로새끼 ^호로새끼 ^호로새끼,1
내가 의료계에 있어서 안다. 예를 들어 설명해줄게 . 중증외상때문에 병원에 실려온 환자가 있는데 이 사람 사지마비되고 전신 피부에 염증이 생겨서 매일마다 손발 및 드레싱 갈아줘야한다 이깨 메디폼이라고 전신의 피부의 고름을 흡수해주은 재질의 것을 쓰는데 이게 70cm 70cm 한장짜리 가격 물어보니까 20만원이더라. 이 사람 한번 전신 소독할때 이거 2개는 썼던것 같다. 근데 이 소독을 매일 하루에 한번씩 한다 . 근데 이 중증외상환자 집안도 좃같은게 가족들 지들은 보험이 되니까 이게 당연한줄 알고 드레싱 제대러 안해놨다고 지랄도 자주함. 이렇게 중증외상 당하는 사람들 왠만하면 사회 하층민이고 진짜 완전 돈 빨아먹는 기계다 . 이거 정부에서 다 보전해줄려면 진짜 제대러 각오해야되는데 어차피 소수이고 사회 하층민이다보니까 그냥 적당히 병원 니들이 책임지라고 던져놓는다. 그럼 병원은 그냥 안받으면 되지 않냐?의료법상 환자가 방문하면 거부를 못하게 의료법이 되어있어서 환자거부하명 처벌받음. 그래서 저런환자들 병원들이 서로 안받으려고 교수없다 베드없다 수술방 없다고 뺑이치게 하다가 환자 죽는일도 발생한다. 그치만 애초애 저런 중증환자데 대해서 정부가 제대로 지원해줬으면 오히여 병원들이 받으려고 하겠지. 아무튼 고생이니 적자는 병원이 감수하고면서도 대학병원들이 욕은 또 졸라게 먹는다 . 문재앙 이새가 멀쩡한 건보재정 마이너스 낸거를 이런데 써야되는것 같다는게 올바른 방향인거 같으면서도 이런 환자들 블쌍하긴 ㅜ한데 보통 이런 대학병원오는 가족들 민도가 낮아서 기껏 치료해놬더니 고소하고 응금실에서 시비걸거 욕하고 이딴 짓도 하도 많이 봐서 그냥 듸져버럈으면 하는 생각도 들고 이중적인 감정이 든다,0
차두리라고 하면 되지.. 세찌는 머야...,1
저 ᄊᄋᄂ ᄋ 때문에 게임 졌네,1
잡#새끼 꺼져,1
아 씨 발이 ㅋㅋㅋ,1
